ID,Language_ID,Headword,Part_Of_Speech,MiddleChinese,OCBS,Example_IDS
425,OldChinese,田,,,,802 1277 1603 1607 3094 3106 4305 4338 4827 6176 6389 6460
426,OldChinese,千,,,,805 3097 3109 3121 4339
427,OldChinese,蝀,,,,806
428,OldChinese,指,,,,807
429,OldChinese,隮,,,,810 2363
430,OldChinese,西,,,,810
431,OldChinese,姻,,,,815
432,OldChinese,命,,,,817 1857 4667 5521 5656 6285 6390 6391 6880
433,OldChinese,為,,,,821 1172 1242 2279 4149 5498 5892
434,OldChinese,齒,,,,822 7122
435,OldChinese,俟,,,,825 3187 3187
436,OldChinese,禮,,,,827 828 6684 6819
437,OldChinese,旄,,,,830 2842 3151
438,OldChinese,郊,,,,831 930 1792 1793 2840
439,OldChinese,紕,,,,832
440,OldChinese,四,,,,833
441,OldChinese,畀,,,,835
442,OldChinese,旟,,,,836 3424 3428 4763 6359
443,OldChinese,都,,,,837 1377 1386 3700
444,OldChinese,五,,,,839
445,OldChinese,予,,,,841 2246 2504 3563 3987 4091 4649 4650 4652 4665 6114
446,OldChinese,旌,,,,842 3166
447,OldChinese,祝,,,,844 5807
448,OldChinese,六,,,,845 1939
449,OldChinese,告,,,,847 914 1595 4281 5466 5862
450,OldChinese,驅,,,,848 1042 1824 2028 2665 5779
451,OldChinese,侯,,,,849 1335
452,OldChinese,反,,,,855 1000 1665 4595 4595 4687 5717 6637 6637 6639
453,OldChinese,遠,,,,857 1435 2586 2738 2899 4689 4690 4820 5723 5726 5959
454,OldChinese,濟,,,,859 1637 1637 5123 5573 5573 6814 6814
455,OldChinese,閟,,,,861
456,OldChinese,蝱,,,,863
457,OldChinese,狂,,,,867 6026
458,OldChinese,極,,,,871 981 1602 1713 1928 3944 4023 4276 4558 4723 4869 5695 6063 6375 6480 6643 7275
459,OldChinese,尤,,,,873 4103
460,OldChinese,猗,,,,877 3162 3439 7133
461,OldChinese,磋,,,,879
462,OldChinese,磨,,,,880 5890
463,OldChinese,僩,,,,881 890
464,OldChinese,咺,,,,882 891
465,OldChinese,諼,,,,884 893 906
466,OldChinese,青,,,,886 1552 4913 4913
467,OldChinese,瑩,,,,888 1553
468,OldChinese,簀,,,,895
469,OldChinese,錫,,,,897
470,OldChinese,璧,,,,898
471,OldChinese,綽,,,,899
472,OldChinese,較,,,,900
473,OldChinese,虐,,,,902 3575 5744 5950
474,OldChinese,澗,,,,903 5597 5598
475,OldChinese,寬,,,,904
476,OldChinese,阿,,,,907 3030 3406 4802 4851 5234 5616
477,OldChinese,薖,,,,908
478,OldChinese,陸,,,,911 2596
479,OldChinese,軸,,,,912 1330
480,OldChinese,宿,,,,913 2525 2598 3336 4195
481,OldChinese,頎,,,,915
482,OldChinese,妻,,,,918 5155
483,OldChinese,姨,,,,920
484,OldChinese,脂,,,,923 5411
485,OldChinese,蠐,,,,924
486,OldChinese,犀,,,,925
487,OldChinese,眉,,,,926
488,OldChinese,倩,,,,927
489,OldChinese,盼,,,,928
490,OldChinese,驕,,,,931 1604 1604 1701 2025 3214 4713
491,OldChinese,鑣,,,,932 2024
492,OldChinese,朝,,,,933 986 1038 2294 3285 4895
493,OldChinese,瀖,,,,938 938
494,OldChinese,發,,,,939 939 1566 2326 2408 4025 4025 4097 4097 6242 7211
495,OldChinese,孼,,,,941 941
496,OldChinese,朅,,,,942 1039
497,OldChinese,蚩,,,,943
498,OldChinese,丘,,,,948 3977
499,OldChinese,期,,,,949 952 1110 2044 2946 3297 4499 6903
500,OldChinese,媒,,,,950
501,OldChinese,垣,,,,953 3846 5326 5769
502,OldChinese,關,,,,954 955 957
